iter	Passed	Remaining
891	1299	157
892	1301	155
893	1302	154
894	1303	152
895	1304	151
896	1305	149
897	1307	148
898	1308	147
899	1309	145
900	1311	144
901	1312	142
902	1313	141
903	1314	139
904	1315	138
905	1316	136
906	1318	135
907	1319	133
908	1320	132
909	1322	130
910	1323	129
911	1324	127
912	1325	126
913	1326	124
914	1327	123
915	1329	121
916	1330	120
917	1331	118
918	1331	117
919	1333	115
920	1334	114
921	1335	112
922	1336	111
923	1337	110
924	1338	108
925	1340	107
926	1341	105
927	1342	104
928	1343	102
929	1344	101
930	1346	99
931	1347	98
932	1348	96
933	1349	95
934	1350	93
935	1351	92
936	1353	90
937	1354	89
938	1355	88
939	1356	86
940	1357	85
941	1359	83
942	1360	82
943	1361	80
944	1362	79
945	1363	77
946	1364	76
947	1365	74
948	1367	73
949	1368	72
950	1369	70
951	1370	69
952	1371	67
953	1373	66
954	1374	64
955	1375	63
956	1376	61
957	1377	60
958	1378	58
959	1379	57
960	1381	56
961	1382	54
962	1383	53
963	1385	51
964	1386	50
965	1387	48
966	1388	47
967	1389	45
968	1390	44
969	1391	43
970	1393	41
971	1394	40
972	1395	38
973	1397	37
974	1398	35
975	1399	34
976	1401	32
977	1402	31
978	1403	30
979	1404	28
980	1405	27
981	1406	25
982	1407	24
983	1408	22
984	1410	21
985	1411	20
986	1412	18
987	1413	17
988	1415	15
989	1416	14
990	1417	12
991	1418	11
992	1419	10
993	1420	8
994	1422	7
995	1423	5
996	1424	4
997	1425	2
998	1427	1
999	1428	0
