iter	Passed	Remaining
754	1187	385
755	1188	383
756	1189	381
757	1190	380
758	1192	378
759	1193	376
760	1194	375
761	1195	373
762	1196	371
763	1198	370
764	1199	368
765	1200	366
766	1201	365
767	1202	363
768	1203	361
769	1205	359
770	1206	358
771	1207	356
772	1208	354
773	1209	353
774	1211	351
775	1212	349
776	1213	348
777	1214	346
778	1215	344
779	1217	343
780	1218	341
781	1219	339
782	1220	338
783	1221	336
784	1222	334
785	1223	333
786	1225	331
787	1226	329
788	1227	328
789	1228	326
790	1230	325
791	1231	323
792	1232	321
793	1233	320
794	1234	318
795	1235	316
796	1237	315
797	1238	313
798	1239	311
799	1240	310
800	1241	308
801	1243	306
802	1244	305
803	1245	303
804	1246	301
805	1247	300
806	1248	298
807	1250	297
808	1251	295
809	1252	293
810	1253	292
811	1254	290
812	1256	288
813	1257	287
814	1258	285
815	1259	284
816	1260	282
817	1261	280
818	1262	279
819	1263	277
820	1265	275
821	1266	274
822	1267	272
823	1268	270
824	1269	269
825	1270	267
826	1272	266
827	1273	264
828	1274	262
829	1275	261
830	1276	259
831	1277	258
832	1279	256
833	1280	254
834	1281	253
835	1282	251
836	1283	250
837	1285	248
838	1286	246
839	1287	245
840	1288	243
841	1290	242
842	1291	240
843	1292	238
844	1293	237
845	1294	235
846	1295	234
847	1296	232
848	1297	230
849	1299	229
850	1300	227
851	1301	226
852	1302	224
853	1303	222
854	1305	221
855	1306	219
856	1307	218
857	1308	216
858	1309	214
859	1310	213
860	1311	211
861	1312	210
862	1313	208
863	1315	207
864	1316	205
865	1317	203
866	1318	202
867	1320	200
868	1321	199
869	1322	197
870	1323	195
871	1324	194
872	1325	192
873	1326	191
874	1328	189
875	1330	188
876	1331	186
877	1332	185
878	1333	183
879	1334	182
880	1335	180
881	1336	178
882	1338	177
883	1339	175
884	1340	174
885	1341	172
886	1342	171
887	1344	169
888	1345	167
889	1346	166
890	1348	164
891	1349	163
892	1350	161
893	1352	160
894	1353	158
895	1354	157
896	1355	155
897	1356	154
898	1357	152
899	1359	151
900	1360	149
901	1361	147
902	1362	146
903	1363	144
904	1365	143
905	1366	141
906	1367	140
907	1368	138
908	1369	137
909	1370	135
910	1372	134
911	1373	132
912	1374	130
913	1375	129
914	1376	127
915	1378	126
916	1379	124
917	1380	123
918	1381	121
919	1382	120
920	1383	118
921	1384	117
922	1386	115
923	1387	114
924	1388	112
925	1389	111
926	1390	109
927	1391	107
928	1393	106
929	1394	104
